lead_time,cycle,neurons,dropout,activation,num_layers,val_mae12,n_reps
18.0,2.0,256.0,0.0,leaky_relu,2.0,0.7082834442456564,3
18.0,2.0,256.0,0.0,relu,2.0,0.7236531575520834,3
18.0,2.0,128.0,0.0,leaky_relu,3.0,0.7268854777018229,3
18.0,2.0,256.0,0.0,leaky_relu,3.0,0.7318381468454996,3
18.0,2.0,32.0,0.0,selu,2.0,0.7318467895189921,3
18.0,2.0,64.0,0.0,selu,2.0,0.7323711713155111,3
18.0,2.0,256.0,0.0,selu,1.0,0.737210214138031,3
18.0,2.0,32.0,0.0,selu,3.0,0.745393971602122,3
18.0,2.0,128.0,0.0,selu,2.0,0.7471251289049784,3
18.0,2.0,128.0,0.0,selu,3.0,0.757200022538503,3
18.0,2.0,256.0,0.0,selu,3.0,0.7602230509122213,3
18.0,2.0,16.0,0.0,selu,3.0,0.7748629450798035,3
18.0,2.0,64.0,0.0,selu,3.0,0.7885769406954447,3
18.0,2.0,128.0,0.0,selu,1.0,0.7989877661069235,3
18.0,2.0,64.0,0.0,relu,3.0,0.8158187468846639,3
18.0,2.0,64.0,0.0,selu,1.0,0.8466466069221497,3
18.0,2.0,16.0,0.1,leaky_relu,1.0,0.8467986583709717,3
18.0,2.0,16.0,0.3,leaky_relu,1.0,0.9165715177853903,3
18.0,2.0,128.0,0.0,relu,3.0,0.9209454854329427,3
18.0,3.0,256.0,0.1,relu,1.0,0.850404421488444,3
18.0,3.0,256.0,0.05,relu,1.0,0.8749749461809794,3
18.0,3.0,128.0,0.05,leaky_relu,1.0,0.8770198822021484,3
18.0,3.0,128.0,0.05,relu,1.0,0.8818358182907104,3
18.0,3.0,256.0,0.0,leaky_relu,1.0,0.9077024857203165,3
18.0,3.0,128.0,0.0,leaky_relu,1.0,0.9087678988774618,3
18.0,3.0,256.0,0.1,leaky_relu,1.0,0.9135433038075765,3
18.0,3.0,128.0,0.1,relu,1.0,0.9139507214228312,3
18.0,3.0,128.0,0.1,leaky_relu,1.0,0.9170718391736349,3
18.0,3.0,256.0,0.0,relu,2.0,0.9192164341608683,3
18.0,3.0,64.0,0.05,leaky_relu,1.0,0.929189662138621,3
18.0,3.0,256.0,0.0,selu,2.0,0.9333963791529337,3
18.0,3.0,128.0,0.0,relu,2.0,0.9334027171134949,3
18.0,3.0,256.0,0.0,relu,1.0,0.935898999373118,3
18.0,3.0,128.0,0.0,leaky_relu,3.0,0.9379691878954569,3
18.0,3.0,256.0,0.0,leaky_relu,3.0,0.9387086033821106,3
18.0,3.0,256.0,0.05,leaky_relu,1.0,0.9389522274335226,3
18.0,3.0,256.0,0.3,relu,1.0,0.942621111869812,3
18.0,3.0,128.0,0.0,relu,3.0,0.9462465047836304,3
18.0,3.0,128.0,0.3,relu,1.0,0.9483370780944824,3
24.0,0.0,256.0,0.0,selu,3.0,0.6289183100064596,3
24.0,0.0,16.0,0.0,selu,3.0,0.6503621737162272,3
24.0,0.0,256.0,0.0,selu,2.0,0.6575602094332377,3
24.0,0.0,128.0,0.0,selu,3.0,0.6580368280410767,3
24.0,0.0,32.0,0.0,selu,3.0,0.6594767967859904,3
24.0,0.0,128.0,0.0,selu,2.0,0.6597450971603394,3
24.0,0.0,64.0,0.0,selu,2.0,0.6617654959360758,3
24.0,0.0,128.0,0.0,selu,1.0,0.6813149650891622,3
24.0,0.0,64.0,0.0,selu,3.0,0.6839579145113627,3
24.0,0.0,32.0,0.0,selu,1.0,0.6937888662020365,3
24.0,0.0,16.0,0.0,selu,1.0,0.6983954906463623,3
24.0,0.0,32.0,0.0,leaky_relu,1.0,0.7041351199150085,3
24.0,0.0,256.0,0.0,selu,1.0,0.7158952554066976,3
24.0,0.0,16.0,0.0,selu,2.0,0.7168058554331461,3
24.0,0.0,128.0,0.1,relu,2.0,0.7189503908157349,3
24.0,0.0,64.0,0.0,selu,1.0,0.719290018081665,3
24.0,0.0,32.0,0.0,selu,2.0,0.7286545435587565,3
24.0,0.0,256.0,0.0,relu,2.0,0.7340746323267618,3
24.0,0.0,256.0,0.05,relu,2.0,0.7351066072781881,3
24.0,0.0,128.0,0.05,relu,2.0,0.7383774518966675,3
24.0,1.0,256.0,0.0,selu,1.0,0.7263493736584982,3
