dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
06-19-2011 1500,28.8,28.7
06-19-2011 1600,28.9,29.3
06-19-2011 1700,29.3,32.4
06-19-2011 1800,29.3,30.6
06-19-2011 1900,29.9,31.2
06-19-2011 2000,29.5,31.6
06-19-2011 2100,29.9,31.9
06-19-2011 2200,29.6,31.9
06-19-2011 2300,29.2,31.7
06-20-2011 0000,28.7,31.4
06-20-2011 0100,28.2,30.9
06-20-2011 0200,27.8,30.3
06-20-2011 0300,27.7,29.8
06-20-2011 0400,27.7,29.3
06-20-2011 0500,27.5,29
06-20-2011 0600,27.5,28.6
06-20-2011 0700,27.2,28.3
06-20-2011 0800,27.1,28.1
06-20-2011 0900,27.1,27.9
06-20-2011 1000,26.8,27.7
06-20-2011 1100,26.6,27.6
06-20-2011 1200,26.7,27.5
06-20-2011 1300,27.5,27.4
06-20-2011 1400,28.4,27.7
06-20-2011 1500,28.7,28.2
06-20-2011 1600,29,28.9
06-20-2011 1700,29.3,29.6
06-20-2011 1800,29.7,30.3
06-20-2011 1900,29.6,31
06-20-2011 2000,29.6,33.7
06-20-2011 2100,29.4,31.9
06-20-2011 2200,29.5,32
06-20-2011 2300,29.2,31.9
06-21-2011 0000,28.7,31.5
06-21-2011 0100,28.2,31.2
06-21-2011 0200,27.8,30.8
06-21-2011 0300,27.7,30.3
06-21-2011 0400,27.5,30
06-21-2011 0500,27.5,29.8
06-21-2011 0600,27.2,29.5
06-21-2011 0700,27.1,29.2
06-21-2011 0800,27,28.8
06-21-2011 0900,26.9,28.7
06-21-2011 1000,26.9,28.6
06-21-2011 1100,26.9,28.4
06-21-2011 1200,26.9,28
06-21-2011 1300,27.6,28
06-21-2011 1400,28.4,28.4
06-21-2011 1500,28.9,28.9
06-21-2011 1600,29.3,29.6
06-21-2011 1700,29.4,30.3
06-21-2011 1800,29.7,31
06-21-2011 1900,30.1,31.6
06-21-2011 2000,30.1,32
06-21-2011 2100,30.1,32.3
06-21-2011 2200,29.4,31.5
06-21-2011 2300,29.2,32.2
06-22-2011 0000,28.8,31.7
06-22-2011 0100,28.3,31
06-22-2011 0200,28.2,30.6
06-22-2011 0300,27.9,30.3
06-22-2011 0400,27.8,29.8
06-22-2011 0500,27.6,29.6
06-22-2011 0600,27.9,30.4
06-22-2011 0700,27.6,30.1
06-22-2011 0800,27.5,30
06-22-2011 0900,27.6,30.2
06-22-2011 1000,27.6,30
06-22-2011 1100,27.2,29.7
06-22-2011 1200,27.4,29.4
06-22-2011 1300,27.8,29.7
06-22-2011 1400,27.9,29.9
06-22-2011 1500,25.6,29.2
06-22-2011 1600,24.9,29.2
06-22-2011 1700,25.2,28.9
06-22-2011 1800,25.6,28.7
06-22-2011 1900,25.9,28.9
06-22-2011 2000,26.2,29.1
06-22-2011 2100,26.3,28.3
06-22-2011 2200,26.4,28.1
06-22-2011 2300,25.8,28.7
06-23-2011 0000,24.8,27.7
06-23-2011 0100,24.6,27.8
06-23-2011 0200,25.3,27.6
06-23-2011 0300,25.3,27.6
06-23-2011 0400,25.8,27.5
06-23-2011 0500,25.6,27.9
06-23-2011 0600,25.7,27.8
06-23-2011 0700,25.7,27.6
06-23-2011 0800,25.6,27.4
06-23-2011 0900,24.8,27.1
06-23-2011 1000,24.4,26.7
06-23-2011 1100,24.1,26.7
06-23-2011 1200,24.8,27.1
06-23-2011 1300,25.3,26.2
06-23-2011 1400,25.7,26.4
06-23-2011 1500,26,26.6
06-23-2011 1600,26.9,27.3
06-23-2011 1700,27.1,27.7
06-23-2011 1800,27.7,27.8
06-23-2011 1900,28.1,28.1
06-23-2011 2000,27.5,28.8
06-23-2011 2100,27.7,29.3
06-23-2011 2200,27.8,29.7
06-23-2011 2300,27.6,29.7
06-24-2011 0000,26.9,29.7
06-24-2011 0100,26.6,29.6
06-24-2011 0200,26.9,29.2
06-24-2011 0300,26.9,28.9
06-24-2011 0400,26.9,28.7
06-24-2011 0500,26.8,28.5
06-24-2011 0600,26.6,28.4
06-24-2011 0700,26.5,28.4
06-24-2011 0800,26.2,28.4
06-24-2011 0900,26,28.2
06-24-2011 1000,26.1,28.3
06-24-2011 1100,25.8,28.2
06-24-2011 1200,26,28.1
06-24-2011 1300,27.1,28.2
06-24-2011 1400,27.5,28.3
06-24-2011 1500,27.6,28.5
06-24-2011 1600,27.2,28.9
06-24-2011 1700,27,29.4
06-24-2011 1800,27.1,29.8
06-24-2011 1900,27.8,30.5
06-24-2011 2000,28.1,31.1
06-24-2011 2100,27.5,31.6
