dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
12-07-2013 1900,1,8.7
12-07-2013 2000,1.1,8.6
12-07-2013 2100,1.1,8.4
12-07-2013 2200,1.3,8.3
12-07-2013 2300,1.4,8.1
12-08-2013 0000,1.4,7.8
12-08-2013 0100,1.6,7.3
12-08-2013 0200,1.4,6.8
12-08-2013 0300,1.4,6.9
12-08-2013 0400,1.4,6.6
12-08-2013 0500,1.6,7
12-08-2013 0600,1.7,7.5
12-08-2013 0700,1.5,6.9
12-08-2013 0800,1.6,8.2
12-08-2013 0900,1.7,7.9
12-08-2013 1000,1.7,7.4
12-08-2013 1100,1.8,7.2
12-08-2013 1200,1.7,7.1
12-08-2013 1300,2,7.2
12-08-2013 1400,2.1,6.4
12-08-2013 1500,2.5,5.6
12-08-2013 1600,2.7,6
12-08-2013 1700,3.3,6.3
12-08-2013 1800,4,6.5
12-08-2013 1900,4.5,6.5
12-08-2013 2000,5.1,6.6
12-08-2013 2100,5.8,6.8
12-08-2013 2200,6.6,7
12-08-2013 2300,7.1,7.6
12-09-2013 0000,6.8,7.8
12-09-2013 0100,6.3,7.6
12-09-2013 0200,7.2,7.7
12-09-2013 0300,7.6,7.8
12-09-2013 0400,7.5,7.8
12-09-2013 0500,7.5,7.7
12-09-2013 0600,7.8,7.9
12-09-2013 0700,7.9,8
12-09-2013 0800,7.7,8
12-09-2013 0900,7.8,8
12-09-2013 1000,8.1,7.9
12-09-2013 1100,8,7.7
12-09-2013 1200,8.1,7.7
12-09-2013 1300,8.5,7.9
12-09-2013 1400,8.6,7.8
12-09-2013 1500,8.9,7.7
12-09-2013 1600,9.3,8.3
12-09-2013 1700,9.5,8.6
12-09-2013 1800,9.7,8.8
12-09-2013 1900,10.2,9
12-09-2013 2000,10.2,9.2
12-09-2013 2100,10.4,9.3
12-09-2013 2200,10,9.4
12-09-2013 2300,9.1,9.4
12-10-2013 0000,8.6,9.4
12-10-2013 0100,8.1,9.3
12-10-2013 0200,7.4,9.4
12-10-2013 0300,7.2,9.3
12-10-2013 0400,6.7,9.3
12-10-2013 0500,6.2,9.2
12-10-2013 0600,5.3,9.1
12-10-2013 0700,4.8,8.9
12-10-2013 0800,4.8,8.7
12-10-2013 0900,4.3,8.5
12-10-2013 1000,4.2,8.4
12-10-2013 1100,3.9,8.3
12-10-2013 1200,3.4,8.2
12-10-2013 1300,2.9,8.1
12-10-2013 1400,2.7,8
12-10-2013 1500,2.8,8
12-10-2013 1600,3.4,8.1
12-10-2013 1700,3.1,8.1
12-10-2013 1800,4.1,8.4
12-10-2013 1900,4.6,8.4
12-10-2013 2000,5.5,8.4
12-10-2013 2100,6.3,8.2
12-10-2013 2200,7,8.1
12-10-2013 2300,7.2,8
12-11-2013 0000,7.4,8
12-11-2013 0100,7.3,8.1
12-11-2013 0200,7.4,7.9
12-11-2013 0300,6.9,7.7
12-11-2013 0400,7.5,7.7
12-11-2013 0500,7.5,7.7
12-11-2013 0600,7.3,7.6
12-11-2013 0700,7.1,7.5
12-11-2013 0800,7,7.5
12-11-2013 0900,6.8,7.4
12-11-2013 1000,6.9,7.5
12-11-2013 1100,7,7.7
12-11-2013 1200,7,7.6
12-11-2013 1300,7.1,7.4
12-11-2013 1400,7.2,7.4
12-11-2013 1500,7.4,7.5
12-11-2013 1600,7.9,7.5
12-11-2013 1700,8,7.5
12-11-2013 1800,8.3,7.8
12-11-2013 1900,8.7,8
12-11-2013 2000,9,8.1
12-11-2013 2100,9.3,8.2
12-11-2013 2200,10,8.2
12-11-2013 2300,9.9,8.2
12-12-2013 0000,9.8,8.3
12-12-2013 0100,10.1,8.2
12-12-2013 0200,10.2,8.2
12-12-2013 0300,10.3,8.2
12-12-2013 0400,10.4,8.2
12-12-2013 0500,10,8.2
12-12-2013 0600,10,8.2
12-12-2013 0700,9.8,8.3
12-12-2013 0800,9.6,8.3
12-12-2013 0900,9.5,8.3
12-12-2013 1000,9.4,8.3
12-12-2013 1100,9.1,8.2
12-12-2013 1200,8.3,8.2
12-12-2013 1300,7.4,8.1
12-12-2013 1400,6.9,8.2
12-12-2013 1500,7.1,8.3
12-12-2013 1600,7.2,8.5
12-12-2013 1700,7.7,8.6
12-12-2013 1800,9.1,8.9
12-12-2013 1900,9.3,9.1
12-12-2013 2000,10,9.6
12-12-2013 2100,10,9.5
12-12-2013 2200,10.5,9.6
12-12-2013 2300,10.9,9.3
12-13-2013 0000,11,9.7
12-13-2013 0100,10.9,9.6
12-13-2013 0200,10.3,9.3
12-13-2013 0300,10.3,9.4
12-13-2013 0400,9.7,9.4
12-13-2013 0500,9.4,9.2
12-13-2013 0600,9.1,9.3
12-13-2013 0700,8.9,9.1
12-13-2013 0800,8.9,9.2
12-13-2013 0900,8.7,9.2
12-13-2013 1000,8.9,9.3
12-13-2013 1100,9,9.3
12-13-2013 1200,8.8,9.3
12-13-2013 1300,8.9,9.2
12-13-2013 1400,9.3,9.2
12-13-2013 1500,9.7,9.3
12-13-2013 1600,10.3,9.6
12-13-2013 1700,10.9,9.6
12-13-2013 1800,13,10.3
12-13-2013 1900,11.7,10.6
12-13-2013 2000,14.6,10.4
12-13-2013 2100,14.6,10.7
12-13-2013 2200,15.7,11.2
12-13-2013 2300,15.9,10.9
12-14-2013 0000,16.1,11.6
12-14-2013 0100,16.2,11.3
12-14-2013 0200,14.6,11
12-14-2013 0300,15,11.1
12-14-2013 0400,13.9,11.2
12-14-2013 0500,12.8,11.2
12-14-2013 0600,12.7,11.3
12-14-2013 0700,12.5,11.4
12-14-2013 0800,12.5,11.1
12-14-2013 0900,12.9,10.6
12-14-2013 1000,11.7,11.1
12-14-2013 1100,11.8,11.3
12-14-2013 1200,11.9,10.8
12-14-2013 1300,11.8,11.2
12-14-2013 1400,11.9,11.2
12-14-2013 1500,12.5,10.8
12-14-2013 1600,13.3,11.2
12-14-2013 1700,14.1,11.8
12-14-2013 1800,14.8,12.2
12-14-2013 1900,17,12.6
12-14-2013 2000,17.5,12.3
12-14-2013 2100,17.4,12.6
12-14-2013 2200,15.8,13.4
12-14-2013 2300,13.8,13.2
12-15-2013 0000,12.1,13
