dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-24-2024 1300,24.5,25.8
10-24-2024 1400,25.6,25.8
10-24-2024 1500,26.5,25.9
10-24-2024 1600,26.5,26.1
10-24-2024 1700,26.7,26.4
10-24-2024 1800,26.8,26.8
10-24-2024 1900,26.8,27.2
10-24-2024 2000,26.7,27.7
10-24-2024 2100,26.6,27.9
10-24-2024 2200,26.7,27.9
10-24-2024 2300,26.6,27.9
10-25-2024 0000,25.7,27.9
10-25-2024 0100,25.7,27.8
10-25-2024 0200,25.6,27.7
10-25-2024 0300,25.6,27.6
10-25-2024 0400,25.8,27.4
10-25-2024 0500,25.8,27.0
10-25-2024 0600,25.9,26.9
10-25-2024 0700,25.8,26.8
10-25-2024 0800,25.7,26.6
10-25-2024 0900,25.6,26.2
10-25-2024 1000,25.4,26.2
10-25-2024 1100,24.8,26.1
10-25-2024 1200,24.1,26.0
10-25-2024 1300,23.8,25.9
10-25-2024 1400,24.3,25.8
10-25-2024 1500,24.8,25.9
10-25-2024 1600,25.7,26.1
10-25-2024 1700,26.9,26.5
10-25-2024 1800,27.4,27.0
10-25-2024 1900,27.5,27.4
10-25-2024 2000,27.8,27.8
10-25-2024 2100,27.8,27.8
10-25-2024 2200,27.5,28.3
10-25-2024 2300,27.3,28.3
10-26-2024 0000,26.6,28.1
10-26-2024 0100,26.4,27.9
10-26-2024 0200,26.3,27.9
10-26-2024 0300,26.1,27.7
10-26-2024 0400,25.9,27.5
10-26-2024 0500,25.5,27.4
10-26-2024 0600,25.6,27.3
10-26-2024 0700,25.4,27.1
10-26-2024 0800,25.3,27.0
10-26-2024 0900,25.3,26.9
10-26-2024 1000,25.4,26.8
10-26-2024 1100,24.4,26.6
10-26-2024 1200,24.9,26.5
10-26-2024 1300,24.8,26.5
10-26-2024 1400,24.4,26.6
10-26-2024 1500,25.5,26.7
10-26-2024 1600,26.2,26.9
10-26-2024 1700,27.0,27.2
10-26-2024 1800,28.0,27.6
10-26-2024 1900,28.0,27.7
10-26-2024 2000,27.9,28.4
10-26-2024 2100,27.8,28.2
10-26-2024 2200,27.6,28.2
10-26-2024 2300,27.4,28.4
10-27-2024 0000,26.4,28.5
10-27-2024 0100,26.0,28.4
10-27-2024 0200,26.0,28.3
10-27-2024 0300,25.8,28.2
10-27-2024 0400,25.8,28.0
10-27-2024 0500,25.6,27.9
10-27-2024 0600,25.5,27.8
10-27-2024 0700,25.3,27.7
10-27-2024 0800,25.3,27.6
10-27-2024 0900,25.0,27.4
10-27-2024 1000,25.2,27.2
10-27-2024 1100,22.8,27.1
10-27-2024 1200,22.6,26.9
10-27-2024 1300,22.3,26.7
10-27-2024 1400,22.7,26.6
10-27-2024 1500,23.7,26.6
10-27-2024 1600,24.7,26.8
10-27-2024 1700,25.5,27.1
10-27-2024 1800,26.4,27.4
10-27-2024 1900,26.5,27.6
10-27-2024 2000,26.5,27.9
10-27-2024 2100,26.6,28.1
10-27-2024 2200,26.4,28.5
10-27-2024 2300,26.3,28.5
